result,question_id,question,A,B,C,D,answer,correct,model_name
A,2839,The telephone was invented in Boston by,Alexander Graham Bell.,Samuel F. B. Morse.,Henry Ford.,Thomas Alva Edison.,A,True,X
A,2840,Which characteristic can an amoeba change that a paramecium cannot change?,sex,shape,color,position,B,False,X
A,2841,A metal spoon was left in a pot of boiling soup. The cook burned a finger by touching the spoon. Why did the finger get burned?,The metal spoon chemically reacted with the cook's hand.,The metal spoon conducted electricity to the cook's hand.,The metal spoon conducted heat to the cook's hand.,The metal spoon insulated the cook's hand.,C,False,X
B,2842,Light rays are focused by the lens of a camera through the process of,reflection.,refraction.,dispersion.,diffraction.,B,True,X
D,2843,Which of these provides the best evidence that the distribution of Earth's oceans has changed over time?,hot spots on ocean floors,seismic activity along plate boundaries,sediment buildup on continental slope,marine fossils found on land masses,D,True,X
A,2844,Which change would have the greatest negative impact on the survival of an owl species?,an increase in primary consumer population,an decrease in acid rain,an decrease in size of habitat,an increase in producers,C,False,X
A,2845,Which organ removes cell waste from the blood?,the large intestine,the small intestine,the kidney,the heart,C,False,X
B,2846,"According to the Big Bang Theory, how is the universe changing?",It is contracting.,It is expanding.,Only the rim is expanding.,Only the center is contracting.,B,True,X
B,2847,Light enters the human eye through the,retina.,pupil.,iris.,lens.,B,True,X
C,2848,The stages in the life cycle of an organism are shown below. birth -> growth -> development -> reproduction -> death In which life cycle stage will a new organism be made?,growth,development,reproduction,death,C,True,X
A,2849,Baby chicks peck their way out of their shells when they hatch. This activity is an example of which of the following types of behavior?,instinctive,learned,planned,social,A,True,X
A,2850,Which conclusion can be made about earthworms because they do not have an internal skeleton?,They are invertebrates.,They have radial symmetry.,They are made of one segment.,They have an open circulatory system.,A,True,X
A,2851,The smallest unit of a plant that can perform all of the processes of life is the,leaf.,cell.,tissue.,root.,B,False,X
A,2852,Soda water is a liquid that has bubbles of carbon dioxide in it. Which term best describes soda water?,a mixture,a molecule,an element,a compound,A,True,X
A,2853,"All stars start forming in the same manner. Some follow the life cycle of the Sun, while others turn into neutron stars or black holes. Which property determines the fate of a star as it develops?",mass,location,luminosity,temperature,A,True,X
A,2854,"If a neutral atom loses an electron, what is formed?",A gas,An ion,An acid,A molecule,B,False,X
A,2855,A student mixed baking soda with vinegar and observed that the reaction was endothermic. When is a reaction endothermic?,when it is reversible,when it can be repeated,when it requires heat to make it happen,when energy is released by the process,C,False,X
A,2856,"What is the primary energy source that drives all weather events, including precipitation, hurricanes, and tornados?",the Sun,the Moon,Earth's gravity,Earth's rotation,A,True,X
C,2857,Which system absorbs and carries food from the digestive system to the rest of the body?,nervous system,muscular system,circulatory system,respiratory system,C,True,X
A,2858,Why do planets stay in orbit around the Sun?,attraction of gravity,effect of inertia,frictional force,rotational force,A,True,X
B,2859,Earth rotates on its north-south axis. Which statement best describes one complete rotation?,It takes six months and causes summer and winter seasons.,It takes 24 hours and causes night and day.,"It takes 29 days, which represents one cycle of the Moon's phases.","It takes 365 days, which represents one Earth year.",B,True,X
A,2860,A rock sample will most likely contain,plants.,minerals.,water.,wood.,B,False,X
C,2861,A jet plane is moving at a constant velocity on a flat surface. Which forces act against the forward motion of the plane?,gravity and engine thrust,engine thrust and friction,friction and air resistance,air resistance and gravity,C,True,X
C,2862,Atmospheric greenhouse gases help heat the atmosphere by,increasing the amount of solar radiation reaching Earth.,storing energy produced by human activity.,absorbing infrared radiation released by Earth.,increasing the average density of air.,C,True,X
B,2863,Scurvy is a disease that sailors often got on long voyages. It was discovered that scurvy could be prevented by eating oranges and lemons. This suggests that scurvy is a disease caused by,exposure to sea air,a nutritional deficiency,a microorganism,lack of exercise,B,True,X
B,2864,Runoff from farms that use fertilizers is entering a small lake. This will most directly affect the lake by causing,the lake to dry up.,algae to grow in the lake.,the lake to become deeper.,water in the lake to become solid.,B,True,X
B,2866,An atom will always have,"a single, negatively-charged nucleus.",equal numbers of protons and electrons.,"""shared"" electrons from another atom.",a stable number of charged neutrons.,B,True,X
A,2867,Students on two different school campuses are comparing the growth rate of grass three weeks after fertilizer has been applied. The same fertilizer and the same amount of water are used on both campuses. Which additional variable is most important to control when the results of the two investigations are compared?,type of grass used,amount of trees in the area,the weather conditions of the day,the time of day the measurements are taken,A,True,X
D,2868,A caterpillar changing into a butterfly is an example of,instinct.,duplication.,reproduction.,metamorphosis.,D,True,X
B,2869,"Some immune cells are actively involved in ingesting, destroying, and presenting invading microbial antigens on their surface to stimulate other cells to produce antibodies. Which of these cells is responsible for initiating such an immune response?",mast cells,phagocytes,B-lymphocytes,T-lymphocytes,B,True,X
A,2870,A single prokaryotic cell can divide several times in an hour. Few eukaryotic cells can divide as quickly. Which of the following statements best explains this difference?,Eukaryotic cells are smaller than prokaryotic cells.,Eukaryotic cells have less DNA than prokaryotic cells.,Eukaryotic cells have more cell walls than prokaryotic cells.,Eukaryotic cells are more structurally complex than prokaryotic cells.,D,False,X
C,2872,"When a person speaks into a telephone, sound energy is changed mostly into which form of energy?",heat,light,electrical,chemical,C,True,X
C,2874,Photovoltaic cells capture photons of sunlight and transform them directly into electricity. Many of Earth's other energy resources are simply transformed solar energy. Which two energy resources store energy that did not begin as solar energy?,oil and coal,wind and wood,nuclear and geothermal,hydropower and natural gas,C,True,X
B,2875,What determines how long the Moon takes to complete one cycle of phases?,the period of rotation of the Moon around its axis,the period of revolution of the Moon around Earth,the period of rotation of Earth around its axis,the period of revolution of Earth around the Sun,B,True,X
